epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.32508,2.64317,3.35807,3.52159,0,0,0,0,2.90164,3.16624,4.10842,0.1,0,0
2,9.70092,2.83797,3.02902,3.65854,0,0,0,0,2.90781,3.18336,4.08702,0.0990995,9.9505e-05,9.9505e-05
3,10.2472,2.8847,3.24698,3.77711,0,0,0,0,2.92177,3.14979,4.06465,0.098198,0.00019802,0.00019802
4,10.6452,2.95891,3.13644,3.40069,0,0,0,0,2.93068,3.13229,4.06429,0.0972955,0.000295545,0.000295545
5,10.9955,2.74794,3.04598,3.54044,0,0,0,0,2.93543,3.08419,4.04775,0.0963921,0.00039208,0.00039208
6,11.4362,2.76499,3.23832,3.6217,0,0,0,0,2.93266,3.05704,4.02976,0.0954876,0.000487625,0.000487625
7,11.8727,2.655,3.17836,3.71597,0,0,0,0,2.94178,3.06411,4.02746,0.0945822,0.00058218,0.00058218
8,12.312,2.89527,3.15993,3.45921,0,0,0,0,2.93567,3.01969,4.01402,0.0936757,0.000675745,0.000675745
9,12.7429,2.78766,3.03406,3.42561,0,0,0,0,2.92786,2.98432,3.97385,0.0927683,0.00076832,0.00076832
10,13.1683,2.75617,3.10226,3.41136,0,0,0,0,2.92435,2.93715,3.95868,0.0918599,0.000859905,0.000859905
11,13.6031,2.83259,2.92106,3.50851,0,0,0,0,2.91916,2.88868,3.94561,0.0909505,0.0009505,0.0009505
12,14.0666,2.65319,2.9251,3.54578,0,0,0,0,2.91326,2.85152,3.93126,0.0900401,0.00104011,0.00104011
13,14.4978,2.73678,2.85353,3.37084,0,0,0,0,2.88244,2.8097,3.89971,0.0891287,0.00112872,0.00112872
14,14.9261,2.72522,2.99746,3.26972,0,0,0,0,2.84172,2.76689,3.88204,0.0882163,0.00121635,0.00121635
15,15.4466,2.74338,2.88919,3.38089,0,0,0,0,2.80533,2.72065,3.84394,0.087303,0.00130298,0.00130298
16,15.881,2.4837,2.88917,3.18593,0,0,0,0,2.74272,2.67624,3.79813,0.0863886,0.00138863,0.00138863
17,16.3151,2.56729,2.75109,3.25787,0,0,0,0,2.72142,2.62666,3.77667,0.0854733,0.00147328,0.00147328
18,16.7371,2.42992,2.71693,3.3346,0,0,0,0,2.72142,2.62666,3.77667,0.0845569,0.00155694,0.00155694
