epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.583432,0,12.195,0,0,0,0,0,0,8.36013,0,0.1,0,0
2,1.17889,0,10.7492,0,0,0,0,0,0,6.93166,0,0.099098,9.802e-05,9.802e-05
3,1.80401,0,9.04557,0,0,0,0,0,0,5.34708,0,0.0981921,0.00019208,0.00019208
4,2.4029,0,7.01654,0,0,0,0,0,0,4.11456,0,0.0972822,0.00028218,0.00028218
5,2.94613,0,5.42769,0,0,0,0,0,0,4.11456,0,0.0963683,0.00036832,0.00036832
6,3.5265,0,5.49406,0,0,0,0,0,0,2.96005,0,0.0954505,0.0004505,0.0004505
7,4.06843,0,3.90884,0,0,0,0,0,0,2.96005,0,0.0945287,0.00052872,0.00052872
8,4.63954,0,3.91558,0,0,0,0,0,0,2.00496,0,0.093603,0.00060298,0.00060298
9,5.17733,0,2.67889,0,0,0,0,0,0,2.00496,0,0.0926733,0.00067328,0.00067328
10,5.73728,0,2.71309,0,0,0,0,0,0,1.33046,0,0.0917396,0.00073962,0.00073962
11,6.2632,0,1.75762,0,0,0,0,0,0,1.33046,0,0.090802,0.000802,0.000802
12,6.80702,0,1.77566,0,0,0,0,0,0,1.33046,0,0.0898604,0.00086042,0.00086042
13,7.36782,0,1.76694,0,0,0,0,0,0,0.83596,0,0.0889149,0.00091488,0.00091488
14,7.89745,0,1.09722,0,0,0,0,0,0,0.83596,0,0.0879654,0.00096538,0.00096538
15,8.42546,0,1.09747,0,0,0,0,0,0,0.83596,0,0.0870119,0.00101192,0.00101192
16,9.03381,0,1.08255,0,0,0,0,0,0,0.50131,0,0.0860545,0.0010545,0.0010545
17,9.5623,0,0.64476,0,0,0,0,0,0,0.50131,0,0.0850931,0.00109312,0.00109312
18,10.0907,0,0.64356,0,0,0,0,0,0,0.50131,0,0.0841278,0.00112778,0.00112778
19,10.618,0,0.65012,0,0,0,0,0,0,0.50131,0,0.0831585,0.00115848,0.00115848
20,11.1679,0,0.64151,0,0,0,0,0,0,0.28789,0,0.0821852,0.00118522,0.00118522
21,11.7894,0,0.37138,0,0,0,0,0,0,0.28789,0,0.081208,0.001208,0.001208
22,12.3438,0,0.36623,0,0,0,0,0,0,0.28789,0,0.0802268,0.00122682,0.00122682
23,12.8796,0,0.36572,0,0,0,0,0,0,0.28789,0,0.0792417,0.00124168,0.00124168
24,13.4452,0,0.36807,0,0,0,0,0,0,0.17219,0,0.0782526,0.00125258,0.00125258
25,13.9595,0,0.21685,0,0,0,0,0,0,0.17219,0,0.0772595,0.00125952,0.00125952
26,14.4769,0,0.22106,0,0,0,0,0,0,0.17219,0,0.0762625,0.0012625,0.0012625
27,15.0108,0,0.21952,0,0,0,0,0,0,0.17219,0,0.0752615,0.00126152,0.00126152
28,15.5637,0,0.21944,0,0,0,0,0,0,0.17219,0,0.0742566,0.00125658,0.00125658
29,16.1756,0,0.22064,0,0,0,0,0,0,0.10996,0,0.0732477,0.00124768,0.00124768
30,16.7065,0,0.13754,0,0,0,0,0,0,0.10996,0,0.0722348,0.00123482,0.00123482
31,17.249,0,0.1401,0,0,0,0,0,0,0.10996,0,0.071218,0.001218,0.001218
32,17.7888,0,0.13909,0,0,0,0,0,0,0.10996,0,0.0701972,0.00119722,0.00119722
33,18.3227,0,0.13853,0,0,0,0,0,0,0.10996,0,0.0691725,0.00117248,0.00117248
34,18.8628,0,0.1387,0,0,0,0,0,0,0.10996,0,0.0681438,0.00114378,0.00114378
35,19.4279,0,0.13953,0,0,0,0,0,0,0.07664,0,0.0671111,0.00111112,0.00111112
36,19.9672,0,0.09438,0,0,0,0,0,0,0.07664,0,0.0660745,0.0010745,0.0010745
37,20.5098,0,0.09333,0,0,0,0,0,0,0.07664,0,0.0650339,0.00103392,0.00103392
38,21.0506,0,0.09313,0,0,0,0,0,0,0.07664,0,0.0639894,0.00098938,0.00098938
39,21.6605,0,0.09462,0,0,0,0,0,0,0.07664,0,0.0629409,0.00094088,0.00094088
40,22.2203,0,0.09372,0,0,0,0,0,0,0.07664,0,0.0618884,0.00088842,0.00088842
41,22.7932,0,0.09318,0,0,0,0,0,0,0.07664,0,0.060832,0.000832,0.000832
42,23.4009,0,0.09487,0,0,0,0,0,0,0.05875,0,0.0597716,0.00077162,0.00077162
43,24.0439,0,0.07223,0,0,0,0,0,0,0.05875,0,0.0587073,0.00070728,0.00070728
44,24.6095,0,0.07061,0,0,0,0,0,0,0.05875,0,0.057639,0.00063898,0.00063898
45,25.1771,0,0.07005,0,0,0,0,0,0,0.05875,0,0.0565667,0.00056672,0.00056672
46,25.727,0,0.07218,0,0,0,0,0,0,0.05875,0,0.0554905,0.0004905,0.0004905
47,26.3126,0,0.07146,0,0,0,0,0,0,0.05875,0,0.0544103,0.00041032,0.00041032
48,26.8563,0,0.07078,0,0,0,0,0,0,0.05875,0,0.0533262,0.00032618,0.00032618
49,27.3954,0,0.0722,0,0,0,0,0,0,0.05875,0,0.0522381,0.00023808,0.00023808
50,27.9784,0,0.07098,0,0,0,0,0,0,0.05246,0,0.051146,0.00014602,0.00014602
