epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.41823,2.64317,3.35807,3.52159,0,0,0,0,2.90164,3.16624,4.10842,0.1,0,0
2,9.77794,2.83797,3.02902,3.65854,0,0,0,0,2.90781,3.18336,4.08702,0.099099,9.901e-05,9.901e-05
3,10.1924,2.8847,3.24698,3.77711,0,0,0,0,2.92177,3.14979,4.06465,0.098196,0.00019604,0.00019604
4,10.6876,2.95891,3.13644,3.40069,0,0,0,0,2.93068,3.13229,4.06429,0.0972911,0.00029109,0.00029109
5,11.0367,2.74794,3.04598,3.54044,0,0,0,0,2.93548,3.08295,4.04591,0.0963842,0.00038416,0.00038416
6,11.4647,2.76587,3.2384,3.62244,0,0,0,0,2.93218,3.05895,4.03002,0.0954753,0.00047525,0.00047525
7,11.8952,2.65484,3.18264,3.71475,0,0,0,0,2.94001,3.06645,4.0335,0.0945644,0.00056436,0.00056436
8,12.3327,2.89576,3.15949,3.46,0,0,0,0,2.93699,3.02147,4.01496,0.0936515,0.00065149,0.00065149
9,12.7717,2.78924,3.03561,3.4254,0,0,0,0,2.92753,2.98872,3.97299,0.0927366,0.00073664,0.00073664
10,13.2076,2.76373,3.10141,3.41383,0,0,0,0,2.92539,2.94073,3.95999,0.0918198,0.00081981,0.00081981
11,13.6443,2.8343,2.92359,3.50965,0,0,0,0,2.91992,2.89388,3.94928,0.090901,0.000901,0.000901
12,14.1029,2.65915,2.9309,3.55389,0,0,0,0,2.91847,2.85686,3.93913,0.0899802,0.00098021,0.00098021
13,14.5328,2.74646,2.85819,3.37754,0,0,0,0,2.89043,2.81273,3.90169,0.0890574,0.00105744,0.00105744
14,15.0517,2.73026,3.00354,3.27602,0,0,0,0,2.85021,2.77855,3.89173,0.0881327,0.00113269,0.00113269
15,15.4717,2.7557,2.9016,3.3866,0,0,0,0,2.81491,2.73648,3.85577,0.087206,0.00120596,0.00120596
16,15.8964,2.49609,2.88811,3.19665,0,0,0,0,2.75577,2.69519,3.81892,0.0862772,0.00127725,0.00127725
17,16.3179,2.58528,2.75932,3.26558,0,0,0,0,2.73156,2.66632,3.8056,0.0853466,0.00134656,0.00134656
18,16.7199,2.45014,2.72864,3.34964,0,0,0,0,2.73156,2.66632,3.8056,0.0844139,0.00141389,0.00141389
19,17.147,2.49973,2.71868,3.24836,0,0,0,0,2.68351,2.60524,3.74153,0.0834792,0.00147924,0.00147924
20,17.5509,2.44652,2.81349,3.12943,0,0,0,0,2.68351,2.60524,3.74153,0.0825426,0.00154261,0.00154261
21,17.9802,2.40513,2.69333,2.95018,0,0,0,0,2.59663,2.54943,3.65803,0.081604,0.001604,0.001604
22,18.4129,2.33345,2.62367,2.85823,0,0,0,0,2.59663,2.54943,3.65803,0.0806634,0.00166341,0.00166341
23,18.8593,2.36804,2.53275,3.13746,1,0.01887,0.50943,0.3566,2.50903,2.45285,3.56684,0.0797208,0.00172084,0.00172084
24,19.269,2.41378,2.57795,3.03259,1,0.01887,0.50943,0.3566,2.50903,2.45285,3.56684,0.0787763,0.00177629,0.00177629
25,19.7131,2.49398,2.68884,2.9312,1,0.0566,0.52829,0.24819,2.41402,2.37762,3.47991,0.0778298,0.00182976,0.00182976
26,20.2164,2.3926,2.43804,3.11205,1,0.0566,0.52829,0.24819,2.41402,2.37762,3.47991,0.0768813,0.00188125,0.00188125
27,20.622,2.40437,2.58953,3.02174,1,0.0566,0.52829,0.37012,2.27712,2.28705,3.38034,0.0759308,0.00193076,0.00193076
28,21.0368,2.1139,2.41589,2.81231,1,0.0566,0.52829,0.37012,2.27712,2.28705,3.38034,0.0749783,0.00197829,0.00197829
29,21.5019,2.34298,2.45273,2.99566,1,0.13208,0.56603,0.36432,2.14683,2.2121,3.27283,0.0740238,0.00202384,0.00202384
30,21.9057,2.12721,2.26287,2.94544,1,0.13208,0.56603,0.36432,2.14683,2.2121,3.27283,0.0730674,0.00206741,0.00206741
31,22.3343,2.16053,2.51707,3.06175,0.8,0.22642,0.5202,0.30135,2.07128,2.19092,3.19129,0.072109,0.002109,0.002109
32,22.7716,2.11735,2.23207,2.86213,0.8,0.22642,0.5202,0.30135,2.07128,2.19092,3.19129,0.0711486,0.00214861,0.00214861
33,23.2117,2.17533,2.24335,2.69183,0.625,0.37736,0.49887,0.26298,2.00428,2.29526,3.11357,0.0701862,0.00218624,0.00218624
34,23.6249,2.12912,2.17709,2.80699,0.625,0.37736,0.49887,0.26298,2.00428,2.29526,3.11357,0.0692219,0.00222189,0.00222189
35,24.1627,2.10014,2.24528,2.87316,0.62857,0.41509,0.51986,0.26918,1.95047,2.33213,3.04899,0.0682556,0.00225556,0.00225556
36,24.5666,2.14207,2.09927,2.79722,0.62857,0.41509,0.51986,0.26918,1.95047,2.33213,3.04899,0.0672872,0.00228725,0.00228725
37,25.0019,1.99028,2.12594,2.85147,0.71429,0.4717,0.59769,0.31953,1.88433,2.33582,2.96571,0.066317,0.00231696,0.00231696
38,25.4082,1.97237,2.11128,2.80852,0.71429,0.4717,0.59769,0.31953,1.88433,2.33582,2.96571,0.0653447,0.00234469,0.00234469
39,25.8391,1.86082,1.95673,2.81831,0.8,0.5283,0.66083,0.34975,1.8118,2.15519,2.94701,0.0643704,0.00237044,0.00237044
40,26.2544,1.74749,1.83219,2.52332,0.8,0.5283,0.66083,0.34975,1.8118,2.15519,2.94701,0.0633942,0.00239421,0.00239421
41,26.6806,1.85674,1.9109,2.57159,0.69048,0.54717,0.64989,0.33728,1.80451,2.09718,2.9358,0.062416,0.002416,0.002416
42,27.1045,1.80036,1.86118,2.56211,0.69048,0.54717,0.64989,0.33728,1.80451,2.09718,2.9358,0.0614358,0.00243581,0.00243581
43,27.5288,1.83808,1.85431,2.61818,0.79487,0.58491,0.68871,0.34725,1.80724,2.09289,2.98574,0.0604536,0.00245364,0.00245364
